!	EXCLAMATION POINT
MI	MICHIGAN
MN	MINNESOTA
MO	MISSOURI
MON	MONDAY
MON.	MONDAY
MPG	MILES PER GALLON
MPH	MILES PER HOUR
MR	MISTER
MR.	MISTER
MRS	MISSIS
MRS.	MISSIS
MS.	MS
MSGR	MONSIGNOR
MSSRS.	MESSRS
MT	MONTANA
MT	MOUNT
MYSQL	MY ESS CUE EL
N	EN
N.	EN
N.C.	NORTH CAROLINA
N.D.	NORTH DAKOTA
N.J.	NEW JERSEY
N.M.	NEW MEXICO
NC	NORTH CAROLINA
ND	NORTH DAKOTA
NE	NEBRASKA
NH	NEW HAMPSHIRE
NJ	NEW JERSEY
NM	NEW MEXICO
NO.	NUMBER
NOAA	NOAH
NOV	NOVEMBER
NOV.	NOVEMBER
NPR.ORG	EN PEE AR DOT ORG
NV	NEVADA
NVHOME	EN VEE HOME
NVHOMES	EN VEE HOMES
NY	NEW YORK
O.	O
OCT	OCTOBER
OCT.	OCTOBER
OH	OHIO
OK	OKAY
OK	OKLAHOMA
ONEX	ONE ECKS
OR	OREGON
OS	OPERATING SYSTEM
P	PEE
P.	PEE
PA	PENNSYLVANIA
PENN.	PENNSYLVANIA
PENNA	PENNSYLVANIA
PHLCORP	PEE AITCH EL CORPORATION
POWERPC	POWER PEE CEE
POWERPCS	POWER PEE CEES
PP.	PAGES
PROF.	PROF
PROF.	PROFESSOR
PUGET-1	PUGET ONE
Q	CUE
Q.	CUE
QMAX	CUE MAX
R	AR
R.	AR
R.I.	RHODE ISLAND
REP	REPRESENTATIVE
REP.	REPRESENTATIVE
RI	RHODE ISLAND
S	ESS
S.	ESS
S.C.	SOUTH CAROLINA
S.D.	SOUTH DAKOTA
SC	SOUTH CAROLINA
SD	SOUTH DAKOTA
SEPT	SEPTEMBER
SEPT.	SEPTEMBER
SR	SENIOR
SR	SISTER
ST	SAINT
ST	STREET
ST-CHARLES	SAINT CHARLES
ST-CLAIR	SAINT CLAIR
ST-CLAIRE	SAINT CLAIRE
ST-CYR	SAINT CYR
ST-DENIS	SAINT DENIS
ST-DENNIS	SAINT DENNIS
ST-GEORGE	SAINT GEORGE
ST-GERMAIN	SAINT GERMAIN
ST-GERMAINE	SAINT GERMAINE
ST-HILAIRE	SAINT HILAIRE
ST-JACQUES	SAINT JACQUES
ST-JAMES	SAINT JAMES
ST-JEAN	SAINT JEAN
ST-JOHN	SAINT JOHN
ST-JOHNS	SAINT JOHNS
ST-JULIEN	SAINT JULIEN
ST-LAURENT	SAINT LAURENT
ST-LAWRENCE	SAINT LAWRENCE
ST-LOUIS	SAINT LOUIS
ST-LUCIA	SAINT LUCIA
ST-MARIE	SAINT MARIE
ST-MARTIN	SAINT MARTIN
ST-MARY	SAINT MARY
ST-PETER	SAINT PETER
ST-PETERSBURG	SAINT PETERSBURG
ST-PIERRE	SAINT PIERRE
ST-THOMAS	SAINT THOMAS
ST.	SAINT
ST.	STREET
STJOHN	SAINT JOHN
SUPERX	SUPER ECKS
T	TEE
T-BONE	TEE BONE
T-LAM	TEE LAM
T-MOBILE	TEE MOBILE
T.	TEE
THU	THURSDAY
THU.	THURSDAY
TN	TENNESSEE
TN.	TENNESSEE
TUE	TUESDAY
TUE.	TUESDAY
TV	TELEVISION
TX	TEXAS
U.	U
US	U ESS
USAID	U ESS AID
USAIR	U ESS AIR
USAIRWAYS	U ESS AIRWAYS
USBANCORP	U ESS BANCORP
UT	UTAH
V	VEE
V.	VEE
VA	VIRGINIA
VISX	VIS ECKS
VT	VERMONT
W	DOUBLE U
W.	DOUBLE U
WA	WASHINGTON
WED	WEDNESDAY
WED.	WEDNESDAY
WI	WISCONSIN
WI.	WISCONSIN
WM	WILLIAM
WV	WEST VIRGINIA
WY	WYOMING
X	ECKS
X.	ECKS
X.ERS	XERS
XBOX	ECKS BOX
XI	ELEVEN
XTRA	EXTRA
Y	WY
Y.	WY
Z	ZED
Z.	ZED
ZDNET	ZED DEE NET
{	BRACE
{	LEFT BRACE
{	OPEN BRACE
}	CLOSE(2) BRACE
}	RIGHT BRACE
×	TIMES
